incident_unique_id,lat_c,long_c,confidence
MS-MSS-00217|2006|1,,,NF
MS-MSS-00218|2006|1,,,NF
MS-MSS-00224|2006|1,,,NF
MS-MSS-00225|2006|1,,,NF
MS-MSS-00226|2006|1,,,NF
MS-MSS-00227|2006|1,,,NF
MS-MSS-00229|2006|1,,,NF
MS-MSS-00230|2006|1,,,NF
MS-MSS-00231|2006|1,,,NF
MS-MSS-00232|2006|1,,,NF
MS-MSS-00233|2006|1,,,NF
MS-MSS-00236|2006|1,,,NF
MS-MSS-00237|2006|1,,,NF
MS-MSS-00243|2006|1,,,NF
MS-MSS-00244|2006|1,,,NF
MS-MSS-00245|2006|1,,,NF
MS-MSS-00246|2006|1,,,NF
MS-MSS-00247|2006|1,,,NF
MS-MSS-00248|2006|1,,,NF
MS-MSS-00249|2006|1,,,NF
MS-MSS-00250|2006|1,,,NF
MS-MSS-00251|2006|1,,,NF
MS-MSS-00252|2006|1,,,NF
MS-MSS-00253|2006|1,,,NF
MS-MSS-00253A|2006|1,,,NF
MS-MSS-00260|2006|1,30.584713,-89.349301,M
MS-MSS-00261|2006|1,34.704968,-89.357764,L
MS-MSS-00262|2006|1,34.751109,-89.448314,L
MS-MSS-00263|2006|1,34.180846,-89.053978,L
MS-MSS-00264|2006|1,34.774434,-89.344643,M
MS-MSS-00266|2006|1,30.706753,-89.310801,L
MS-MSS-00271|2006|1,34.978878,-89.176087,L
MS-MSS-00272|2006|1,34.188959,-90.101389,M
MS-MSS-00362|2006|1,30.41359,-89.521723,M
MS-MSS-00363|2006|1,30.641337,-89.64246,H
MS-MSS-0058|2006|1,30.740456,-89.334087,H
MS-MSS-0060|2006|1,34.809917,-88.139135,L
MS-MSS-0061|2006|1,34.155109,-88.394124,L
MS-MSS-0062|2006|1,33.422653,-88.427339,M
MS-MSS-0063|2006|1,34.30668,-89.143046,L
MS-MSS-0064|2006|1,34.693091,-89.120319,H
MS-MSS-0065|2006|1,34.505806,-88.475163,H
MS-MSS-0066|2006|1,34.637455,-88.302174,L
MS-MSS-0067|2006|1,31.23706,-89.836137,L
MS-MSS-0070|2006|1,31.660228,-90.343805,L
MS-MSS-0071|2006|1,33.398271,-91.07444,L
MS-MSS-0072|2006|1,33.86012,-89.933114,M
MS-MSS-0073|2006|1,33.002909,-89.380629,L
MS-MSS-0077|2006|1,,,NF
MS-MSS-0078|2006|1,31.115164,-88.594151,H
MS-MSS-0079|2006|1,,,NF
MS-MSS-0081|2006|1,31.398941,-90.606887,L
NC-NCS-06069042|2006|1,35.313333,-76.551667,H
OK-OKS-06-50002|2006|1,35.425286,-97.107533,H
OK-OKS-06-50004|2006|1,,,NF
OK-OKS-06-50006|2006|1,,,NF
OK-OKS-06-50008|2006|1,35.989052,-97.013417,L
OK-OKS-06-50009|2006|1,36.654731,-95.181785,L
OK-OKS-06-50010|2006|1,,,NF
OK-OKS-06-50012|2006|1,,,NF
OK-OKS-06-50013|2006|1,,,NF
OK-OKS-06-50014|2006|1,35.449474,-96.774895,M
OK-OKS-06-6052|2006|1,34.685,-97.936785,M
OK-OKS-30538|2006|1,35.481804,-94.786983,L
PA-PAS-16-005|2006|1,,,NF
SC-SCS-6WF0239|2006|1,33.002694,-80.803684,H
TX-RGR-CVM2|2006|1,26.038799,-97.159728,H
UT-SWS-00143|2006|1,37.226667,-113.217222,H
VA-VAS-0014|2006|1,,,NF
FL-EAQ-2007-7037|2007|1,30.616667,-86.283333,H
FL-FLS-2007-02-0927|2007|1,30.300654,-85.53522,L
IN-INS-000001|2007|1,41.641559,-85.208073,L
MN-MNS-253002|2007|1,47.153417,-91.618917,M
MN-MNS-312-0040-07|2007|1,45.902071,-95.149971,M
NC-ECA-074070|2007|1,35.572948,-83.391251,M
OR-PRD-0621|2007|1,45.534327,-120.824813,H
TN-TNS-D5S004|2007|1,35.046135,-88.056746,L
WV-WVS-S2007500120|2007|1,38.38611,-81.725278,M
FL-FLS-2008-05-0051|2008|1,,,NF
ND-NDS-08007|2008|1,47.923533,-98.817669,L
OK-OSA-008184|2008|1,36.925556,-96.095833,H
TX-TXS-88075|2008|1,34.183056,-101.665,H
VA-VAS-08060422|2008|1,37.453889,-82.002778,H
AZ-A1S-090936|2009|1,32.965361,-114.63889,M
FL-FNF-009026|2009|1,29.9669444,-84.996944,H
FL-FNF-009028|2009|1,29.966944,-84.996944,H
MI-MIS-000001|2009|1,43.252083,-85.503056,M
OK-NEU-30633|2009|1,35.786596,-94.98595,L
SC-FMF-090588|2009|1,35.099627,-81.760241,L
VA-VAS-09050056|2009|1,,,NF
CA-MVU-7711|2010|1,32.643937,-116.784155,L
GA-GAS-100003|2010|1,30.713268,-84.744428,L
CA-CDD-7680|2011|1,35.971944,-115.966389,H
CA-HUU-0003190|2011|1,40.164534,-124.16149,H
FL-FLS-2011-14-0189|2011|1,27.771667,-81.318056,H
AZ-CNF-000263|2012|1,31.335028,-110.416424,M
MO-MOS-000022|2012|1,37.537975,-92.538027,M
MT-FBA-00087|2012|1,48.406536,-108.684374,M
PR-CBR-000006|2012|1,17.965556,-67.2025,M
PR-CBR-HUK4|2013|1,17.967778,-67.203611,M
ca-cdf-009|2001|1,,,NF
UT-NWS-155|2001|1,40.550465,-112.461715,L
AZ-AZS-02-0217|2002|1,34.242025,-109.387314,L
CA-LMU-002046|2002|1,40.803631,-120.841657,L
CA-LMU-002213|2002|1,,,NF
CO-RGF-0385|2002|1,,,NF
ID-SCF|2002|1,44.503611,-115.185278,H
LA-SBR-02013|2002|1,32.9083333,-93.500278,L
PA-PAS-001|2002|1,40.666667,-75.533333,M
2003-01|2003|1,,,NF
AZ-ASF-081|2003|1,33.110136,-109.222164,L
AZ-KNF-042|2003|1,36.687633,-112.204728,M
CA-LMU-002111|2003|1,,,NF
CA-LMU-2417|2003|1,,,NF
CA-SCU-003035|2003|1,37.538086,-121.567445,L
CA-SKU-003072|2003|1,,,NF
CA-SKU-003866|2003|1,,,NF
CA-SKU-003885|2003|1,41.69076,-122.737092,M
CA-SKU-003890|2003|1,42.000351,-122.161608,M
CA-SKU-003991|2003|1,,,NF
CA-TGU-004575|2003|1,,,NF
CA-TGU-04446|2003|1,,,NF
ID-CWF-000062|2003|1,46.58775,-114.763944,H
ND-NDS-006|2003|1,46.891622,-101.41091,L
OR-711-000131-04|2003|1,,,NF
OR-UPF-0000034|2003|1,43.265481,-122.417468,L
TX-MCR-21525|2003|1,29.729865,-94.067425,M
TX-MCR-B228|2003|1,29.720619,-93.952463,M
WA-NCP-146|2003|1,48.766667,-121.05,M
CA-LMU-001954|2004|1,,,NF
CA-SKU-002538|2004|1,,,NF
ID-SCF-4199|2004|1,44.451366,-114.938648,L
ID-SCF-4278|2004|1,44.408598,-115.112006,L
ID-SCF-4334|2004|1,44.504804,-113.527483,M
ND-NDS-007|2004|1,46.930687,-102.13,H
WY-BTF-010|2004|1,43.392611,-110.692313,L
AZ-TCA-019BV42|2005|1,35.697863,-113.584284,M
CA-SKU-002088|2005|1,,,NF
CA-SKU-003390|2005|1,,,NF
ID-NPF-000021|2005|1,46.272778,-115.027778,H
OR-VAD-000231|2005|1,,,NF
TX-TXF-01039|2005|1,31.207222,-94.216389,H
UT-DIF-000063|2005|1,37.488448,-112.418765,L
1224|2006|1,,,NF
CA-BDU-007707|2006|1,34.094252,-116.370095,L
CA-LPF-1475|2006|1,34.812561,-119.146035,L
CA-PNF-000329|2006|1,40.044645,-120.886376,L
CA-SKU-002865|2006|1,,,NF
CA-SKU-003421|2006|1,,,NF
CA-SKU-003799|2006|1,,,NF
FL-FLS-2006-15-0497|2006|1,,,NF
ID-CWF-200607|2006|1,46.528785,-114.690506,H
ID-PAF-006126|2006|1,45.166389,-115.700278,H
KS-KSX-000695|2006|1,36.051524,-117.322893,M
MT-BRF-5083|2006|1,45.756912,-114.378756,L
MT-BRF-5085|2006|1,45.756912,-114.378756,L
MT-BRF-5134|2006|1,45.65074,-114.438806,M
MT-BRF-5162|2006|1,45.805365,-114.338644,L
NV-NTE-00042|2006|1,,,M
AL-BOR-07001|2007|1,30.2425,-87.913056,H
FL-FLS-2007-17-0359|2007|1,26.304444,-81.70065,H
ID-CWF-0058|2007|1,46.258889,-114.746389,H
CA-BTU-007587|2008|1,,,M
NC-NCF-1000078|2010|1,35.768333,-77.150278,M
LA-BSR-012001|2012|1,30.046944,-89.751389,H
ID-NPF-000347|2013|1,46.146439,-116.319231,H
CA-BDC-21652|2001|1,,,
CA-CZU-004850|2001|1,37.053678,-122.014792,M
CA-CZU-6367|2001|1,37.066492,-122.031713,L
CA-CZU-6430|2001|1,,,
