incident_unique_id,eyear,state,incidentnum,incidentname,emonth,eday,edoy,syear,smonth,sday,sdoy,area_km2,costs,fatalities,home.destroyed,home.threat,max.pers,max.aerial,tot.pers,tot.aerial,max.agency.support,cause,confidence,geometry
AK-GAD-000451|2013|1,2013,,AK-GAD-000451,Hammer Creek,7,29,192,2013,6,27,178,17.603841,0,0,0,0,0,0,0,0,0,Lightning,H,"c(-157.804722, 63.440833)"
AK-GAD-000464|2013|1,2013,,AK-GAD-000464,Innoko 1,7,29,192,2013,6,28,179,6.240662806,0,0,0,0,0,0,0,0,0,Lightning,H,"c(-157.466667, 63.416667)"
AK-GAD-000540|2013|1,2013,,AK-GAD-000540,Main Creek,8,28,240,2013,7,13,194,5.130609108,0,0,0,0,0,0,0,0,0,Lightning,H,"c(-155.786111, 64.566667)"
AK-MID-000109|2013|1,2013,,AK-MID-000109,Moose Creek,6,31,153,2013,5,29,149,0.016996812,86520,0,0,0,51,0,115,0,4,Human,H,"c(-146.980833, 64.695833)"
AK-MID-000117|2013|1,2013,,AK-MID-000117,Mississippi,11,31,306,2013,5,30,150,274.01693746,15e6,0,0,126,506,0,5300,0,10,Human,H,"c(-145.993056, 63.893056)"
AK-MID-000280|2013|1,2013,,AK-MID-000280,Stuart Creek #2,8,31,235,2013,6,19,170,3456.7266404999996,25e6,0,3,750,796,0,21759,0,11,Human,H,"c(-146.466667, 64.7)"
AK-MSS-301129|2013|1,2013,,AK-MSS-301129,Point MacKenzie,6,31,156,2013,5,30,150,0.1821087,249863,0,1,3,44,0,178,0,1,Human,H,"c(-149.956389, 61.411667)"
AK-MSS-301207|2013|1,2013,,AK-MSS-301207,Nakochna River,6,12,163,2013,6,10,161,0.3035145,88148,0,0,0,20,0,42,0,2,Lightning,H,"c(-151.957778, 62.181111)"
AK-MSS-301417|2013|1,2013,,AK-MSS-301417,Wantana,6,30,181,2013,6,26,177,0.15782754,15e4,0,0,0,21,0,63,0,2,Lightning,H,"c(-148.374444, 62.8225)"
AK-SWS-304|2013|1,2013,,AK-SWS-304,Moose Creek,6,22,173,2013,6,22,173,0.0202343,0,0,0,0,8,0,8,0,1,Lightning,H,"c(-156.485278, 61.839722)"
